configuration_id,experiment,blocks,classifier,C,k,repeat,fold,risk_weighted_f1,risk_macro_f1,accuracy
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0,0,0.6166623259130833,0.5364221407258111,0.6037735849056604
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0,1,0.5639378073890922,0.4495993592827486,0.5463414634146342
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0,2,0.5938036552521602,0.4897206179592027,0.5797546012269938
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0,3,0.6014395661483085,0.5668501728211599,0.5960264900662252
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0,4,0.5988759659584405,0.5431031977053615,0.5842293906810035
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,1,0,0.5759552802608885,0.4769417784091565,0.5606936416184971
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,1,1,0.6164587920789949,0.5080949920255747,0.6020408163265306
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,1,2,0.6145580591249513,0.5737017437200542,0.6128048780487805
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,1,3,0.6083317389160481,0.5302502444434085,0.5915492957746479
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,1,4,0.5920737428257663,0.5419999497878537,0.592948717948718
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,2,0,0.576943257163708,0.48103197671340436,0.5552407932011332
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,2,1,0.551720002560763,0.48628139685626315,0.5493827160493827
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,2,2,0.624848741930207,0.48355014072835856,0.60790273556231
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,2,3,0.5820753045025129,0.5410482874008411,0.5759493670886076
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,2,4,0.5835342397347876,0.5209120767880682,0.5718849840255591
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0,0,0.6370789877414479,0.561327962673855,0.6289308176100629
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0,1,0.582311835530194,0.48933669348286457,0.5707317073170731
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0,2,0.6088212812433564,0.5035193142071128,0.6012269938650306
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0,3,0.5690399453354656,0.5415294860381747,0.5662251655629139
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0,4,0.6060423049976047,0.5445187807774247,0.5949820788530465
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,1,0,0.5653377269750278,0.46799159428872217,0.5635838150289018
