configuration_id,experiment,blocks,classifier,C,k,risk_weighted_f1__mean,risk_weighted_f1__std,risk_macro_f1__mean,risk_macro_f1__std,accuracy__mean,accuracy__std
early_fusion_all__logistic_regression__C0.25__k128,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,128,0.6158770944425941,0.02099223956859189,0.5338711440737793,0.03252729425476116,0.6071773187273215,0.02248622943384189
early_fusion_complementary__logistic_regression__C0.25__k128,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,0.25,128,0.6137913598531116,0.033959176761503486,0.5314575856347856,0.038437111354433014,0.6042282319857724,0.033233656681627206
early_fusion_complementary__linear_svm__C0.25__k128,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,0.25,128,0.613086007259737,0.03517045819090803,0.5253045886026685,0.0465907143216568,0.6093466469541765,0.03606711204204404
early_fusion_complementary__linear_svm__C1__k128,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,1.0,128,0.6100576733207735,0.034432177629816145,0.5211669542084933,0.045053294928646195,0.6055943092186259,0.03496866655385651
early_fusion_complementary__logistic_regression__C1__k128,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,1.0,128,0.6093483068371628,0.032292313185094734,0.5271931323919132,0.039150572755962496,0.5997086462418706,0.032323986577265006
early_fusion_all__logistic_regression__C1__k128,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,128,0.608194879290593,0.020346981867460093,0.5266320036048563,0.03144423318889712,0.5997005110031427,0.021676018609537676
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0.6080038883578305,0.02071592983699123,0.5239852522235603,0.04182027813384068,0.6050736981212975,0.021366735477787675
early_fusion_all__linear_svm__C0.25__k128,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,0.25,128,0.6067434295395149,0.025402553811957166,0.5162132552079697,0.040395383172406374,0.6049973114141746,0.026882217206122692
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0.605447227742238,0.019873675666010206,0.5206076965897771,0.04107513375418271,0.6016073750781202,0.021035003691396117
early_fusion_complementary__linear_svm__C0.25__k64,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,0.25,64,0.6037831983787068,0.0323527110904087,0.5167011447620887,0.03204396668181296,0.6018215139319889,0.03141695827409291
early_fusion_complementary__linear_svm__C1__k64,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,1.0,64,0.6036365634029951,0.03410398007503502,0.5168147176362867,0.031575321369225536,0.601562677719711,0.03264559495096727
post_mpnet__logistic_regression__C0.25__k128,post_mpnet,post_embedding,logistic_regression,0.25,128,0.6027398142526906,0.022520402612456976,0.5231483323290665,0.03719367269786388,0.594886169363727,0.022183207468162047
early_fusion_all__linear_svm__C0.25__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,0.25,64,0.6026503382097455,0.030997390699604856,0.5154883361904854,0.032120196343203664,0.6013313131139882,0.027750473526916914
early_fusion_all__logistic_regression__C0.25__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,64,0.6021872498341021,0.03446938212848192,0.5156245774566455,0.04119177856796107,0.5903264620315218,0.03321963507520651
early_fusion_all__linear_svm__C1__k128,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,128,0.6001825121511017,0.025588162794315288,0.5093471032280198,0.03996759013499059,0.5973203944287551,0.026365772381879024
early_fusion_complementary__logistic_regression__C0.25__k64,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,0.25,64,0.597099541577091,0.02425346431479098,0.510919231471781,0.023641019609126894,0.5838962188808087,0.023114113730617742
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0.5963483973032823,0.025269593273344167,0.517167629111643,0.03677620201402928,0.5941781035507655,0.02418961898977569
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0.5963308643258786,0.025882357258352993,0.5170657959833286,0.037430500153683294,0.5942357652733995,0.024755446844733506
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0.5958729924987108,0.023587757322843777,0.5152403964700103,0.042032493812949406,0.5869717437965866,0.02376449729278923
early_fusion_complementary__logistic_regression__C1__k64,early_fusion_complementary,post_embedding;zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,1.0,64,0.5952783621483557,0.028228226603966226,0.5069051286665902,0.029368473122811906,0.5818125108725262,0.027850608563609762
early_fusion_all__linear_svm__C1__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,64,0.5948080356559958,0.033939618750164345,0.506871702625723,0.033147950873919564,0.5927766373597635,0.030225665537699068
early_fusion_all__logistic_regression__C1__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,64,0.5943258885026973,0.03526596247942402,0.5111635540668561,0.03561086483229067,0.5834639336580046,0.03324533575343321
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0.5934145653173142,0.021103477145327128,0.5153005383578179,0.036289301890736286,0.5820348983959123,0.021642836780114024
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0.5891023319161952,0.020625145166003382,0.5108767857808855,0.035329511208947985,0.5776267444153967,0.02108612221519941
anchors_all__logistic_regression__C0.25__kall,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,all,0.5888218545980125,0.03461210693714789,0.5025151373287635,0.03873313431440344,0.5772587172463463,0.036970533328774
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,0.5876948533566952,0.026166331610078586,0.5151928405491708,0.022354142811869464,0.5878212596623389,0.023711510573705335
